grid degree lamb width ; KAN_time ; KAN_acc ; current_best_mlp ; MLP_time ; layers neurons
3 2 0 [30, 22, 2] ; 16521380 ; 0.9767441749572754 ; 0.9534883720930233 ; 595351 ;  7   34
3 2 0 [30, 24, 2] ; 7769096 ; 0.9767441749572754 ; 0.9534883720930233 ; 1390079 ;  11   29
3 2 0 [30, 26, 2] ; 9972668 ; 0.9767441749572754 ; 0.9418604651162791 ; 575720 ;  2   66
3 2 0 [30, 28, 2] ; 9903415 ; 0.9883720874786377 ; 0.9418604651162791 ; 793243 ;  4   50
3 2 0 [30, 30, 2] ; 9852548 ; 1.0 ; 0.9534883720930233 ; 587838 ;  2   71
3 2 0 [30, 32, 2] ; 11113581 ; 0.9767441749572754 ; 0.9418604651162791 ; 563433 ;  2   74
3 2 0 [30, 34, 2] ; 11751974 ; 0.9767441749572754 ; 0.9534883720930233 ; 2912711 ;  10   36
3 2 0 [30, 36, 2] ; 22827057 ; 0.9883720874786377 ; 0.9418604651162791 ; 742697 ;  2   79
3 2 0 [30, 38, 2] ; 10933243 ; 0.9883720874786377 ; 0.9534883720930233 ; 9370808 ;  3   67
3 2 0 [30, 40, 2] ; 11869823 ; 0.9767441749572754 ; 0.9651162790697675 ; 11304259 ;  5   55
3 2 0 [30, 42, 2] ; 17847546 ; 1.0 ; 0.9534883720930233 ; 9759033 ;  7   48
3 2 0 [30, 44, 2] ; 17964922 ; 0.9767441749572754 ; 0.9418604651162791 ; 7457702 ;  2   88
3 2 0 [30, 46, 2] ; 16020161 ; 0.9767441749572754 ; 0.9534883720930233 ; 7969857 ;  9   44
3 2 0 [30, 48, 2] ; 12431848 ; 0.9767441749572754 ; 0.9534883720930233 ; 13999272 ;  3   76
3 2 0 [30, 50, 2] ; 18152369 ; 0.9883720874786377 ; 0.9418604651162791 ; 9134047 ;  2   94
3 2 0 [30, 52, 2] ; 21974135 ; 0.9883720874786377 ; 0.9534883720930233 ; 11866000 ;  8   50
3 2 0 [30, 54, 2] ; 16782967 ; 0.9883720874786377 ; 0.9534883720930233 ; 8660548 ;  2   98
3 2 0 [30, 56, 2] ; 13935495 ; 0.9883720874786377 ; 0.9418604651162791 ; 15495837 ;  3   83
3 2 0 [30, 58, 2] ; 14902849 ; 0.9883720874786377 ; 0.9418604651162791 ; 8750924 ;  2   102
3 2 0 [30, 60, 2] ; 16141248 ; 0.9767441749572754 ; 0.9418604651162791 ; 9492310 ;  2   104
3 2 0 [30, 62, 2] ; 25477308 ; 0.9767441749572754 ; 0.9651162790697675 ; 8303619 ;  2   106
3 2 0 [30, 30, 30, 2] ; 22313482 ; 0.9418604373931885 ; 0.9418604651162791 ; 6798716 ;  2   102
3 2 0 [30, 30, 32, 2] ; 23813028 ; 0.9651162624359131 ; 0.9418604651162791 ; 10220594 ;  8   54
3 2 0 [30, 30, 34, 2] ; 41155656 ; 0.9651162624359131 ; 0.9534883720930233 ; 17711610 ;  3   88
3 2 0 [30, 30, 36, 2] ; 21727463 ; 0.9418604373931885 ; 0.9534883720930233 ; 15097310 ;  3   89
3 2 0 [30, 30, 38, 2] ; 39669980 ; 0.9767441749572754 ; 0.9418604651162791 ; 6602924 ;  4   79
3 2 0 [30, 30, 40, 2] ; 23974184 ; 0.9767441749572754 ; 0.9534883720930233 ; 10279792 ;  9   54
3 2 0 [30, 30, 42, 2] ; 48353411 ; 0.9883720874786377 ; 0.9651162790697675 ; 14007016 ;  3   93
3 2 0 [30, 30, 44, 2] ; 36723824 ; 0.9651162624359131 ; 0.9534883720930233 ; 11179791 ;  5   74
3 2 0 [30, 30, 46, 2] ; 26145795 ; 0.9767441749572754 ; 0.9418604651162791 ; 5069636 ;  8   60
3 2 0 [30, 30, 48, 2] ; 40179336 ; 0.9534883499145508 ; 0.9534883720930233 ; 24201302 ;  10   55
3 2 0 [30, 30, 50, 2] ; 25008113 ; 0.9418604373931885 ; 0.9418604651162791 ; 14290898 ;  3   99
3 2 0 [30, 30, 52, 2] ; 29676997 ; 0.9651162624359131 ; 0.9534883720930233 ; 9470913 ;  2   121
3 2 0 [30, 30, 54, 2] ; 31025137 ; 0.9651162624359131 ; 0.9534883720930233 ; 7617849 ;  6   73
3 2 0 [30, 30, 56, 2] ; 29589538 ; 0.9767441749572754 ; 0.9534883720930233 ; 8396010 ;  4   90
3 2 0 [30, 30, 58, 2] ; 30046337 ; 0.9767441749572754 ; 0.9418604651162791 ; 19965847 ;  3   104
3 2 0 [30, 30, 60, 2] ; 38478829 ; 1.0 ; 0.9418604651162791 ; 17793075 ;  3   105
