grid degree lamb width ; KAN_time ; KAN_acc ; current_best_mlp ; MLP_time ; layers neurons
3 2 0 [4, 3, 3] ; 7138596 ; 0.95652174949646 ; 1.0 ; 142714 ;  2 _ 10
3 2 0 [4, 5, 3] ; 3919100 ; 0.95652174949646 ; 1.0 ; 75222 ;  2 _ 13
3 2 0 [4, 7, 3] ; 4648598 ; 1.0 ; 1.0 ; 217266 ;  2 _ 16
3 2 0 [4, 9, 3] ; 5712196 ; 0.95652174949646 ; 1.0 ; 82797 ;  2 _ 18
3 2 0 [4, 4, 4, 3] ; 5981363 ; 1.0 ; 1.0 ; 131348 ;  2 _ 15
3 2 0 [4, 4, 6, 3] ; 3162570 ; 0.95652174949646 ; 1.0 ; 56409 ;  2 _ 18
3 2 0 [4, 4, 8, 3] ; 4777922 ; 0.8695651888847351 ; 1.0 ; 39928 ;  2 _ 20
3 2 0 [4, 6, 4, 3] ; 4691591 ; 1.0 ; 1.0 ; 113885 ;  2 _ 18
3 2 0 [4, 6, 6, 3] ; 3266078 ; 0.95652174949646 ; 1.0 ; 159334 ;  2 _ 21
3 2 0 [4, 6, 8, 3] ; 6840440 ; 0.95652174949646 ; 1.0 ; 57612 ;  2 _ 23
3 2 0 [4, 8, 4, 3] ; 5828995 ; 0.95652174949646 ; 1.0 ; 88128 ;  2 _ 20
3 2 0 [4, 8, 6, 3] ; 6553945 ; 0.8695651888847351 ; 1.0 ; 149953 ;  2 _ 23
3 2 0 [4, 8, 8, 3] ; 5298884 ; 0.95652174949646 ; 1.0 ; 83896 ;  2 _ 26
3 2 0 [4, 10, 4, 3] ; 3579608 ; 0.95652174949646 ; 1.0 ; 74547 ;  2 _ 23
3 2 0 [4, 10, 6, 3] ; 6825458 ; 1.0 ; 1.0 ; 58008 ;  2 _ 26
3 2 0 [4, 10, 8, 3] ; 4234232 ; 1.0 ; 1.0 ; 111453 ;  2 _ 29
3 2 0 [4, 12, 4, 3] ; 5129425 ; 0.95652174949646 ; 1.0 ; 102194 ;  2 _ 25
3 2 0 [4, 12, 6, 3] ; 4270978 ; 0.95652174949646 ; 1.0 ; 33945 ;  2 _ 28
3 2 0 [4, 12, 8, 3] ; 3803868 ; 0.95652174949646 ; 1.0 ; 33988 ;  2 _ 31
3 3 0 [4, 3, 3] ; 2027363 ; 1.0 ; 1.0 ; 81740 ;  2 _ 11
3 3 0 [4, 5, 3] ; 2431037 ; 1.0 ; 1.0 ; 47107 ;  2 _ 15
3 3 0 [4, 7, 3] ; 3039492 ; 0.95652174949646 ; 1.0 ; 129005 ;  2 _ 18
3 3 0 [4, 9, 3] ; 2891249 ; 0.95652174949646 ; 1.0 ; 163695 ;  2 _ 21
3 3 0 [4, 4, 4, 3] ; 6785703 ; 0.95652174949646 ; 1.0 ; 91067 ;  2 _ 17
3 3 0 [4, 4, 6, 3] ; 4430848 ; 1.0 ; 1.0 ; 135035 ;  2 _ 20
3 3 0 [4, 4, 8, 3] ; 4942145 ; 0.95652174949646 ; 1.0 ; 115329 ;  2 _ 22
3 3 0 [4, 6, 4, 3] ; 6320218 ; 1.0 ; 1.0 ; 147477 ;  2 _ 20
3 3 0 [4, 6, 6, 3] ; 5409152 ; 0.8695651888847351 ; 1.0 ; 97358 ;  2 _ 23
3 3 0 [4, 6, 8, 3] ; 7311575 ; 1.0 ; 1.0 ; 59111 ;  2 _ 26
3 3 0 [4, 8, 4, 3] ; 6555974 ; 0.95652174949646 ; 1.0 ; 41397 ;  2 _ 23
3 3 0 [4, 8, 6, 3] ; 5695059 ; 1.0 ; 1.0 ; 134327 ;  2 _ 26
3 3 0 [4, 8, 8, 3] ; 6360426 ; 1.0 ; 1.0 ; 150121 ;  2 _ 29
3 3 0 [4, 10, 4, 3] ; 5563613 ; 0.95652174949646 ; 1.0 ; 85204 ;  2 _ 25
3 3 0 [4, 10, 6, 3] ; 5398119 ; 1.0 ; 1.0 ; 222861 ;  2 _ 29
3 3 0 [4, 10, 8, 3] ; 5291967 ; 1.0 ; 1.0 ; 78800 ;  2 _ 32
3 3 0 [4, 12, 4, 3] ; 6478217 ; 0.9130434989929199 ; 1.0 ; 163836 ;  2 _ 28
3 3 0 [4, 12, 6, 3] ; 7083904 ; 1.0 ; 1.0 ; 48128 ;  2 _ 31
3 3 0 [4, 12, 8, 3] ; 3989672 ; 1.0 ; 1.0 ; 147590 ;  2 _ 35
3 4 0 [4, 3, 3] ; 2604635 ; 1.0 ; 1.0 ; 108100 ;  2 _ 12
3 4 0 [4, 5, 3] ; 3370836 ; 1.0 ; 1.0 ; 121113 ;  2 _ 16
3 4 0 [4, 7, 3] ; 3223486 ; 1.0 ; 1.0 ; 92714 ;  2 _ 20
3 4 0 [4, 9, 3] ; 2757211 ; 1.0 ; 1.0 ; 60803 ;  2 _ 23
3 4 0 [4, 4, 4, 3] ; 6681266 ; 0.8695651888847351 ; 1.0 ; 133778 ;  2 _ 19
3 4 0 [4, 4, 6, 3] ; 6822258 ; 1.0 ; 1.0 ; 125134 ;  2 _ 22
3 4 0 [4, 4, 8, 3] ; 4480794 ; 1.0 ; 1.0 ; 99054 ;  2 _ 24
3 4 0 [4, 6, 4, 3] ; 6814679 ; 0.95652174949646 ; 1.0 ; 76154 ;  2 _ 22
3 4 0 [4, 6, 6, 3] ; 7211426 ; 1.0 ; 1.0 ; 59235 ;  2 _ 25
3 4 0 [4, 6, 8, 3] ; 9103755 ; 0.95652174949646 ; 1.0 ; 103681 ;  2 _ 28
3 4 0 [4, 8, 4, 3] ; 3599233 ; 0.6086956262588501 ; 1.0 ; 59625 ;  2 _ 25
3 4 0 [4, 8, 6, 3] ; 6331279 ; 0.9130434989929199 ; 1.0 ; 198099 ;  2 _ 29
3 4 0 [4, 8, 8, 3] ; 5579337 ; 1.0 ; 1.0 ; 192493 ;  2 _ 32
3 4 0 [4, 10, 4, 3] ; 5175691 ; 0.95652174949646 ; 1.0 ; 101835 ;  2 _ 28
3 4 0 [4, 10, 6, 3] ; 5993639 ; 1.0 ; 1.0 ; 65696 ;  2 _ 32
3 4 0 [4, 10, 8, 3] ; 11597812 ; 0.8260869383811951 ; 1.0 ; 70859 ;  2 _ 35
3 4 0 [4, 12, 4, 3] ; 6446611 ; 1.0 ; 1.0 ; 74182 ;  2 _ 30
3 4 0 [4, 12, 6, 3] ; 6054690 ; 1.0 ; 1.0 ; 189450 ;  2 _ 34
3 4 0 [4, 12, 8, 3] ; 5757010 ; 0.95652174949646 ; 1.0 ; 125785 ;  2 _ 38
3 5 0 [4, 3, 3] ; 2448334 ; 1.0 ; 1.0 ; 50661 ;  2 _ 13
3 5 0 [4, 5, 3] ; 3081768 ; 1.0 ; 1.0 ; 72859 ;  2 _ 18
3 5 0 [4, 7, 3] ; 4088020 ; 1.0 ; 1.0 ; 276451 ;  2 _ 21
3 5 0 [4, 9, 3] ; 3404876 ; 1.0 ; 1.0 ; 134948 ;  2 _ 25
3 5 0 [4, 4, 4, 3] ; 4435685 ; 0.695652186870575 ; 1.0 ; 91008 ;  2 _ 20
3 5 0 [4, 4, 6, 3] ; 6723544 ; 1.0 ; 1.0 ; 214507 ;  2 _ 23
3 5 0 [4, 4, 8, 3] ; 8240843 ; 0.95652174949646 ; 1.0 ; 72043 ;  2 _ 26
3 5 0 [4, 6, 4, 3] ; 6758891 ; 0.782608687877655 ; 1.0 ; 261982 ;  2 _ 24
3 5 0 [4, 6, 6, 3] ; 7673352 ; 1.0 ; 1.0 ; 221347 ;  2 _ 27
3 5 0 [4, 6, 8, 3] ; 6791982 ; 0.95652174949646 ; 1.0 ; 59898 ;  2 _ 31
3 5 0 [4, 8, 4, 3] ; 8882976 ; 1.0 ; 1.0 ; 153164 ;  2 _ 27
3 5 0 [4, 8, 6, 3] ; 7250687 ; 1.0 ; 1.0 ; 152927 ;  2 _ 31
3 5 0 [4, 8, 8, 3] ; 7141829 ; 0.95652174949646 ; 1.0 ; 66270 ;  2 _ 35
3 5 0 [4, 10, 4, 3] ; 6032778 ; 1.0 ; 1.0 ; 186366 ;  2 _ 30
3 5 0 [4, 10, 6, 3] ; 7730917 ; 1.0 ; 1.0 ; 73154 ;  2 _ 34
3 5 0 [4, 10, 8, 3] ; 6198133 ; 0.95652174949646 ; 1.0 ; 41325 ;  2 _ 38
3 5 0 [4, 12, 4, 3] ; 6766684 ; 1.0 ; 1.0 ; 175206 ;  2 _ 33
3 5 0 [4, 12, 6, 3] ; 9967157 ; 1.0 ; 1.0 ; 235743 ;  2 _ 37
3 5 0 [4, 12, 8, 3] ; 9270612 ; 1.0 ; 1.0 ; 160325 ;  2 _ 41
5 2 0 [4, 3, 3] ; 2600683 ; 0.95652174949646 ; 1.0 ; 86916 ;  2 _ 11
5 2 0 [4, 5, 3] ; 2446761 ; 0.9130434989929199 ; 1.0 ; 104425 ;  2 _ 14
5 2 0 [4, 7, 3] ; 3949864 ; 0.95652174949646 ; 1.0 ; 93957 ;  2 _ 17
5 2 0 [4, 9, 3] ; 3277175 ; 0.95652174949646 ; 1.0 ; 68886 ;  2 _ 20
5 2 0 [4, 4, 4, 3] ; 5430490 ; 0.95652174949646 ; 1.0 ; 88768 ;  2 _ 16
5 2 0 [4, 4, 6, 3] ; 4303739 ; 0.9130434989929199 ; 1.0 ; 130976 ;  2 _ 19
