grid degree lamb width ; KAN_time ; KAN_acc ; current_best_mlp ; MLP_time ; layers neurons
3 2 0 [64, 48, 10] ; 45386735 ; 0.9666666388511658 ; 1.0 ; 11939572 ;  2 _ 134
3 2 0 [64, 50, 10] ; 50663413 ; 0.9666666388511658 ; 1.0 ; 9236792 ;  2 _ 138
3 2 0 [64, 52, 10] ; 43079760 ; 0.9555555582046509 ; 1.0 ; 11757532 ;  2 _ 141
3 2 0 [64, 54, 10] ; 53728199 ; 0.9592592716217041 ; 1.0 ; 9549791 ;  2 _ 144
3 2 0 [64, 56, 10] ; 52096060 ; 0.9629629850387573 ; 1.0 ; 9945528 ;  2 _ 147
3 2 0 [64, 58, 10] ; 54513111 ; 0.9592592716217041 ; 1.0 ; 13507520 ;  2 _ 149
3 2 0 [64, 60, 10] ; 62396041 ; 0.9629629850387573 ; 1.0 ; 14620786 ;  2 _ 152
3 2 0 [64, 62, 10] ; 48746455 ; 0.9555555582046509 ; 1.0 ; 16030181 ;  2 _ 155
3 2 0 [64, 64, 10] ; 69843062 ; 0.9592592716217041 ; 1.0 ; 14420126 ;  2 _ 158
3 2 0 [64, 66, 10] ; 53303469 ; 0.9629629850387573 ; 1.0 ; 14569426 ;  2 _ 161
3 2 0 [64, 68, 10] ; 68778502 ; 0.9592592716217041 ; 1.0 ; 14919870 ;  2 _ 163
3 2 0 [64, 70, 10] ; 69487602 ; 0.9555555582046509 ; 1.0 ; 14336512 ;  2 _ 166
3 2 0 [64, 72, 10] ; 72162037 ; 0.9592592716217041 ; 1.0 ; 12549420 ;  2 _ 168
3 2 0 [64, 74, 10] ; 63719748 ; 0.9666666388511658 ; 1.0 ; 16003165 ;  2 _ 171
3 2 0 [64, 76, 10] ; 72628531 ; 0.970370352268219 ; 1.0 ; 18853087 ;  2 _ 174
3 2 0 [64, 78, 10] ; 70225314 ; 0.9629629850387573 ; 1.0 ; 14248262 ;  2 _ 176
3 2 0 [64, 80, 10] ; 85258082 ; 0.9666666388511658 ; 1.0 ; 15286453 ;  2 _ 178
3 2 0 [64, 82, 10] ; 81791607 ; 0.9629629850387573 ; 1.0 ; 12840066 ;  2 _ 181
3 2 0 [64, 84, 10] ; 80431702 ; 0.970370352268219 ; 1.0 ; 15903817 ;  2 _ 183
3 2 0 [64, 86, 10] ; 93123973 ; 0.9592592716217041 ; 1.0 ; 16574775 ;  2 _ 186
3 2 0 [64, 88, 10] ; 71465614 ; 0.9666666388511658 ; 1.0 ; 16675206 ;  2 _ 188
3 2 0 [64, 90, 10] ; 93966984 ; 0.9629629850387573 ; 1.0 ; 16173751 ;  2 _ 190
3 2 0 [64, 92, 10] ; 108685111 ; 0.9629629850387573 ; 1.0 ; 17272873 ;  2 _ 193
3 2 0 [64, 94, 10] ; 93781957 ; 0.9666666388511658 ; 1.0 ; 15334818 ;  2 _ 195
3 2 0 [64, 96, 10] ; 98920750 ; 0.9592592716217041 ; 1.0 ; 17290302 ;  2 _ 197
3 2 0 [64, 98, 10] ; 92357093 ; 0.9629629850387573 ; 1.0 ; 15117753 ;  2 _ 199
3 2 0 [64, 100, 10] ; 111060786 ; 0.9666666388511658 ; 1.0 ; 17465523 ;  2 _ 202
3 2 0 [64, 102, 10] ; 81365009 ; 0.970370352268219 ; 1.0 ; 17420499 ;  2 _ 204
3 2 0 [64, 104, 10] ; 89247594 ; 0.9666666388511658 ; 1.0 ; 18067258 ;  2 _ 206
3 2 0 [64, 106, 10] ; 127765124 ; 0.9666666388511658 ; 1.0 ; 21065888 ;  2 _ 208
3 2 0 [64, 108, 10] ; 91491824 ; 0.9666666388511658 ; 1.0 ; 14168558 ;  2 _ 210
3 2 0 [64, 110, 10] ; 115712961 ; 0.970370352268219 ; 1.0 ; 19141066 ;  2 _ 212
3 2 0 [64, 112, 10] ; 91159391 ; 0.9629629850387573 ; 1.0 ; 21662354 ;  2 _ 214
3 2 0 [64, 114, 10] ; 133428061 ; 0.9629629850387573 ; 1.0 ; 20497600 ;  2 _ 216
3 2 0 [64, 116, 10] ; 90794485 ; 0.9629629850387573 ; 1.0 ; 21937757 ;  2 _ 218
3 2 0 [64, 118, 10] ; 125867691 ; 0.9629629850387573 ; 1.0 ; 19733817 ;  2 _ 220
3 2 0 [64, 120, 10] ; 103284647 ; 0.9666666388511658 ; 1.0 ; 25316073 ;  2 _ 222
3 2 0 [64, 122, 10] ; 135563201 ; 0.9666666388511658 ; 1.0 ; 22396921 ;  2 _ 224
3 2 0 [64, 124, 10] ; 128231159 ; 0.9629629850387573 ; 1.0 ; 18771941 ;  2 _ 226
3 2 0 [64, 126, 10] ; 152953770 ; 0.9629629850387573 ; 1.0 ; 17952943 ;  2 _ 228
3 2 0 [64, 128, 10] ; 170250696 ; 0.9666666388511658 ; 1.0 ; 21736835 ;  2 _ 230
3 2 0 [64, 130, 10] ; 126067562 ; 0.9666666388511658 ; 1.0 ; 25075842 ;  2 _ 232
3 2 0 [64, 64, 64, 10] ; 284026068 ; 0.9851852059364319 ; 1.0 ; 23011208 ;  2 _ 222
3 2 0 [64, 64, 66, 10] ; 230676948 ; 0.9777777791023254 ; 1.0 ; 23923883 ;  2 _ 224
3 2 0 [64, 64, 68, 10] ; 280671729 ; 0.9740740656852722 ; 1.0 ; 20935104 ;  2 _ 226
3 2 0 [64, 64, 70, 10] ; 338638703 ; 0.9851852059364319 ; 1.0 ; 24112050 ;  2 _ 228
3 2 0 [64, 64, 72, 10] ; 316838252 ; 0.9777777791023254 ; 1.0 ; 22282830 ;  2 _ 230
3 2 0 [64, 64, 74, 10] ; 255197284 ; 0.9777777791023254 ; 1.0 ; 24287967 ;  2 _ 232
3 2 0 [64, 64, 76, 10] ; 251959287 ; 0.9740740656852722 ; 1.0 ; 24246411 ;  2 _ 233
3 2 0 [64, 64, 78, 10] ; 268281373 ; 0.9777777791023254 ; 1.0 ; 21303573 ;  2 _ 235
3 2 0 [64, 64, 80, 10] ; 325790810 ; 0.9777777791023254 ; 1.0 ; 24237498 ;  2 _ 237
3 2 0 [64, 64, 82, 10] ; 307848134 ; 0.9777777791023254 ; 1.0 ; 17676094 ;  2 _ 239
3 2 0 [64, 64, 84, 10] ; 317206883 ; 0.9777777791023254 ; 1.0 ; 23057616 ;  2 _ 241
3 2 0 [64, 64, 86, 10] ; 278768559 ; 0.9777777791023254 ; 1.0 ; 23926983 ;  2 _ 243
3 2 0 [64, 64, 88, 10] ; 286355941 ; 0.9777777791023254 ; 1.0 ; 22372228 ;  2 _ 245
3 2 0 [64, 64, 90, 10] ; 261667962 ; 0.9851852059364319 ; 1.0 ; 25914959 ;  2 _ 247
