grid degree lamb width ; KAN_time ; KAN_acc ; current_best_mlp ; MLP_time ; layers neurons
3 2 0 [13, 9, 3] ; 4024818 ; 0.9259259104728699 ; 0.7777777777777778 ; 231029 ;  2 _ 27
3 2 0 [13, 11, 3] ; 4358810 ; 0.9259259104728699 ; 0.8518518518518519 ; 552801 ;  7 _ 17
3 2 0 [13, 13, 3] ; 2932619 ; 0.9259259104728699 ; 0.8518518518518519 ; 224380 ;  4 _ 24
3 2 0 [13, 15, 3] ; 4074242 ; 1.0 ; 0.9259259259259259 ; 262001 ;  2 _ 36
3 2 0 [13, 17, 3] ; 2873741 ; 0.9629629850387573 ; 0.8888888888888888 ; 181816 ;  2 _ 38
3 2 0 [13, 19, 3] ; 3975377 ; 0.9629629850387573 ; 0.8888888888888888 ; 275161 ;  2 _ 41
3 2 0 [13, 21, 3] ; 2011757 ; 0.9629629850387573 ; 0.8888888888888888 ; 453489 ;  3 _ 36
3 2 0 [13, 23, 3] ; 2445043 ; 0.9629629850387573 ; 0.8518518518518519 ; 444864 ;  3 _ 37
3 2 0 [13, 25, 3] ; 5109417 ; 0.9629629850387573 ; 0.7777777777777778 ; 279117 ;  4 _ 34
3 2 0 [13, 27, 3] ; 3870393 ; 0.8888888955116272 ; 0.7777777777777778 ; 289763 ;  2 _ 49
3 2 0 [13, 13, 13, 3] ; 4622233 ; 0.9259259104728699 ; 0.8148148148148148 ; 432150 ;  3 _ 38
3 2 0 [13, 13, 15, 3] ; 6364774 ; 0.8888888955116272 ; 0.9259259259259259 ; 247949 ;  2 _ 48
3 2 0 [13, 13, 17, 3] ; 3988384 ; 0.7777777910232544 ; 0.8888888888888888 ; 213146 ;  2 _ 50
3 2 0 [13, 13, 19, 3] ; 12630263 ; 0.9629629850387573 ; 0.8888888888888888 ; 344731 ;  2 _ 52
3 2 0 [13, 13, 21, 3] ; 4753703 ; 0.8148148059844971 ; 0.7777777777777778 ; 238803 ;  2 _ 53
3 2 0 [13, 13, 23, 3] ; 7939278 ; 0.8518518805503845 ; 0.8148148148148148 ; 702813 ;  4 _ 40
3 2 0 [13, 13, 25, 3] ; 12208097 ; 0.9259259104728699 ; 0.8148148148148148 ; 549809 ;  4 _ 41
3 2 0 [13, 13, 27, 3] ; 6903729 ; 0.8888888955116272 ; 0.8518518518518519 ; 281032 ;  2 _ 59
3 2 0 [13, 15, 13, 3] ; 6630212 ; 0.9629629850387573 ; 0.8888888888888888 ; 200201 ;  2 _ 49
3 2 0 [13, 15, 15, 3] ; 5604148 ; 0.8518518805503845 ; 0.8518518518518519 ; 493940 ;  3 _ 42
3 2 0 [13, 15, 17, 3] ; 6492095 ; 0.8888888955116272 ; 0.8518518518518519 ; 243821 ;  2 _ 53
3 2 0 [13, 15, 19, 3] ; 4723933 ; 0.8518518805503845 ; 0.7777777777777778 ; 638590 ;  7 _ 30
3 2 0 [13, 15, 21, 3] ; 8869508 ; 0.9629629850387573 ; 0.8888888888888888 ; 218503 ;  2 _ 57
3 2 0 [13, 15, 23, 3] ; 5998818 ; 0.8888888955116272 ; 0.8518518518518519 ; 527454 ;  3 _ 49
3 2 0 [13, 15, 25, 3] ; 7270800 ; 1.0 ; 0.7777777777777778 ; 259993 ;  2 _ 61
3 2 0 [13, 15, 27, 3] ; 10555661 ; 0.9259259104728699 ; 0.7777777777777778 ; 707684 ;  9 _ 31
3 2 0 [13, 17, 13, 3] ; 11341196 ; 0.9629629850387573 ; 0.7777777777777778 ; 348674 ;  2 _ 52
3 2 0 [13, 17, 15, 3] ; 7182909 ; 0.8518518805503845 ; 0.8148148148148148 ; 796324 ;  3 _ 45
3 2 0 [13, 17, 17, 3] ; 7617603 ; 0.9259259104728699 ; 0.8518518518518519 ; 550210 ;  3 _ 47
3 2 0 [13, 17, 19, 3] ; 7153450 ; 0.9259259104728699 ; 0.8148148148148148 ; 364140 ;  4 _ 42
3 2 0 [13, 17, 21, 3] ; 13552599 ; 0.9629629850387573 ; 0.8518518518518519 ; 497332 ;  4 _ 44
3 2 0 [13, 17, 23, 3] ; 4599925 ; 0.7777777910232544 ; 0.8518518518518519 ; 615349 ;  5 _ 41
3 2 0 [13, 17, 25, 3] ; 8597738 ; 0.9259259104728699 ; 0.8888888888888888 ; 757252 ;  3 _ 53
3 2 0 [13, 17, 27, 3] ; 7314791 ; 0.8518518805503845 ; 0.8148148148148148 ; 428168 ;  2 _ 66
3 2 0 [13, 19, 13, 3] ; 5396283 ; 0.9629629850387573 ; 0.7777777777777778 ; 377707 ;  5 _ 36
3 2 0 [13, 19, 15, 3] ; 9150405 ; 0.9259259104728699 ; 0.8518518518518519 ; 559466 ;  3 _ 47
3 2 0 [13, 19, 17, 3] ; 9305799 ; 0.9629629850387573 ; 0.8148148148148148 ; 621065 ;  3 _ 49
3 2 0 [13, 19, 19, 3] ; 6588410 ; 0.8518518805503845 ; 0.7777777777777778 ; 311018 ;  2 _ 62
3 2 0 [13, 19, 21, 3] ; 10586296 ; 0.8518518805503845 ; 0.8148148148148148 ; 750988 ;  3 _ 53
3 2 0 [13, 19, 23, 3] ; 8767821 ; 0.8518518805503845 ; 0.8518518518518519 ; 813658 ;  3 _ 55
3 2 0 [13, 19, 25, 3] ; 8858430 ; 0.8888888955116272 ; 0.7777777777777778 ; 816001 ;  3 _ 56
3 2 0 [13, 19, 27, 3] ; 11194909 ; 0.9629629850387573 ; 0.7777777777777778 ; 515605 ;  4 _ 50
3 2 0 [13, 21, 13, 3] ; 13065562 ; 0.9629629850387573 ; 0.7777777777777778 ; 494280 ;  3 _ 48
3 2 0 [13, 21, 15, 3] ; 7639947 ; 0.8888888955116272 ; 0.8518518518518519 ; 286126 ;  2 _ 60
3 2 0 [13, 21, 17, 3] ; 4874178 ; 0.7777777910232544 ; 0.8518518518518519 ; 574456 ;  5 _ 41
3 2 0 [13, 21, 19, 3] ; 8892647 ; 0.9259259104728699 ; 0.7777777777777778 ; 2491732 ;  2 _ 65
3 2 0 [13, 21, 21, 3] ; 9774616 ; 0.9629629850387573 ; 0.8888888888888888 ; 904883 ;  2 _ 67
3 2 0 [13, 21, 23, 3] ; 19053376 ; 1.0 ; 0.7777777777777778 ; 2006269 ;  2 _ 69
3 2 0 [13, 21, 25, 3] ; 10587544 ; 0.8148148059844971 ; 0.7777777777777778 ; 802285 ;  3 _ 59
3 2 0 [13, 21, 27, 3] ; 9942260 ; 0.9629629850387573 ; 0.8148148148148148 ; 431844 ;  2 _ 73
3 3 0 [13, 9, 3] ; 2263579 ; 0.8888888955116272 ; 0.8888888888888888 ; 260142 ;  2 _ 30
3 3 0 [13, 11, 3] ; 5014502 ; 0.9629629850387573 ; 0.8518518518518519 ; 280011 ;  6 _ 20
3 3 0 [13, 13, 3] ; 5180711 ; 0.9629629850387573 ; 0.8518518518518519 ; 357615 ;  2 _ 37
3 3 0 [13, 15, 3] ; 4129949 ; 0.9629629850387573 ; 0.7777777777777778 ; 188080 ;  2 _ 40
3 3 0 [13, 17, 3] ; 6154224 ; 0.9259259104728699 ; 0.7777777777777778 ; 291818 ;  5 _ 28
3 3 0 [13, 19, 3] ; 4411684 ; 0.9629629850387573 ; 0.8888888888888888 ; 616101 ;  3 _ 38
